sponsor_name,ein,city,state,ntee_code,classification,propublica_url,search_term_found,collected_at,website,email,phone,contact_person,mission_statement,annual_revenue,assets,outreach_status,email_sent,response_received,sponsorship_amount,notes,follow_up_date,priority_level
Cultural Resources Foundation,262993649,Brooklyn,NY,A99,,https://projects.propublica.org/nonprofits/organizations/262993649,cultural,2025-10-17 17:56:57,,,,,,,,not_contacted,no,no,,,,high
Moun Cultural Foundation,392761036,Floral Park,NY,A23,,https://projects.propublica.org/nonprofits/organizations/392761036,cultural,2025-10-17 17:56:57,,,,,,,,not_contacted,no,no,,,,high
Daniels Music Foundation,320156199,New York,NY,A68,,https://projects.propublica.org/nonprofits/organizations/320156199,music,2025-10-17 17:56:58,,,,,,,,not_contacted,no,no,,,,high
Visual Arts Foundation Inc,136261474,New York,NY,A900,,https://projects.propublica.org/nonprofits/organizations/136261474,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Goldfinger Foundation For The Visual Arts,134009859,Waccabuc,NY,T20,,https://projects.propublica.org/nonprofits/organizations/134009859,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Dorothy Dehner Foundation For The Visual Arts,133830526,New York,NY,T20Z,,https://projects.propublica.org/nonprofits/organizations/133830526,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Buffalo Academy For Visual And Performing Arts Foundation,271423111,Buffalo,NY,B112,,https://projects.propublica.org/nonprofits/organizations/271423111,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Matthew Troyan Foundation For The Visual Arts Ltd,454392048,Brookhaven,NY,B12,,https://projects.propublica.org/nonprofits/organizations/454392048,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Ashford Hollow Foundation For The Visual Performing Arts,160958993,Buffalo,NY,,,https://projects.propublica.org/nonprofits/organizations/160958993,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
The Andy Warhol Foundation For The Visual Arts Inc,133410749,New York,NY,,,https://projects.propublica.org/nonprofits/organizations/133410749,visual arts,2025-10-17 17:57:02,,,,,,,,not_contacted,no,no,,,,high
Foundation Of Arts Music And Education,133707599,Bedford Hills,NY,B64Z,,https://projects.propublica.org/nonprofits/organizations/133707599,arts education,2025-10-17 17:57:03,,,,,,,,not_contacted,no,no,,,,high
